Timestamp,Email Address,CTL Display Name (what we would recognize you by),First Pick,Second Pick,Third Pick,Last Pick
11/3/17 18:22,a,a,Rajzilla,Rajzilla,Rajzilla,Rajzilla
11/3/17 13:40,a,a,Rajzilla,TreetopHuntR,Voltacus,Excloud
11/2/17 12:43,a,a,Voltacus,TreetopHuntR,Rajzilla,Excloud
11/2/17 12:13,a,a,TreetopHuntR,Rajzilla,Excloud,Voltacus
11/7/17 19:28,v,v,Rajzilla,Rajzilla,Rajzilla,Rajzilla
11/3/17 1:13,v,v,Rajzilla,Rajzilla,Rajzilla,Rajzilla
11/9/17 3:02,v,v,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/4/17 0:58,a,a,Rajzilla,TreetopHuntR,Voltacus,Excloud
11/2/17 14:47,v,v,Rajzilla,TreetopHuntR,Excloud,Voltacus
11/2/17 19:49,v,v,Rajzilla,Voltacus,Excloud,TreetopHuntR
11/3/17 19:56,a,a,Voltacus,TreetopHuntR,Rajzilla,Excloud
11/5/17 18:10,s,s,TreetopHuntR,Rajzilla,Voltacus,Excloud
11/2/17 12:19,s,s,TreetopHuntR,Voltacus,Excloud,Rajzilla
11/2/17 14:46,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/3/17 14:58,dd,dd,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/8/17 19:53,d,d,Rajzilla,Voltacus,Excloud,TreetopHuntR
11/2/17 12:21,dd,dd,Voltacus,TreetopHuntR,Rajzilla,Excloud
11/4/17 22:37,d,d,Rajzilla,TreetopHuntR,Voltacus,Excloud
11/2/17 22:51,d,d,Excloud,Excloud,Excloud,Excloud
11/2/17 12:09,d,d,Voltacus,TreetopHuntR,Rajzilla,Excloud
11/2/17 23:36,d,d,Rajzilla,Excloud,TreetopHuntR,Voltacus
11/3/17 1:53,d,d,Rajzilla,TreetopHuntR,Voltacus,Excloud
11/5/17 15:57,d,d,Rajzilla,TreetopHuntR,Excloud,Voltacus
11/2/17 16:43,d,d,Excloud,Excloud,Excloud,Excloud
11/2/17 15:15,d,d,Voltacus,TreetopHuntR,Excloud,Rajzilla
11/3/17 17:20,d,d,TreetopHuntR,Rajzilla,Excloud,Voltacus
11/2/17 12:52,d,d,TreetopHuntR,Voltacus,Excloud,Rajzilla
11/4/17 13:09,d,d,Excloud,TreetopHuntR,Rajzilla,Voltacus
11/2/17 15:05,d,d,Voltacus,Voltacus,Voltacus,Voltacus
11/2/17 16:03,d,d,Voltacus,Voltacus,Voltacus,Voltacus
11/3/17 2:01,d,d,Excloud,Voltacus,TreetopHuntR,Excloud
11/2/17 14:38,d,d,Rajzilla,TreetopHuntR,Voltacus,Excloud
11/2/17 23:39,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/8/17 19:58,d,d,TreetopHuntR,Voltacus,Excloud,Rajzilla
11/2/17 12:16,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/2/17 12:16,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/3/17 1:22,d,d,Rajzilla,Rajzilla,Rajzilla,Rajzilla
11/2/17 12:19,d,d,Excloud,TreetopHuntR,Voltacus,Rajzilla
11/2/17 15:03,d,d,Excloud,Voltacus,TreetopHuntR,Rajzilla
11/2/17 12:18,d,d,Voltacus,Rajzilla,TreetopHuntR,Excloud
11/3/17 1:45,d,d,Excloud,Excloud,TreetopHuntR,Voltacus
11/2/17 17:13,d,d,Excloud,Voltacus,TreetopHuntR,Rajzilla
11/7/17 16:20,d,d,Excloud,Excloud,Rajzilla,Voltacus
11/3/17 10:44,d,d,Rajzilla,TreetopHuntR,Voltacus,Excloud
11/3/17 6:39,d,d,Rajzilla,Rajzilla,Rajzilla,Rajzilla
11/2/17 17:42,d,d,Excloud,Rajzilla,Voltacus,TreetopHuntR
11/2/17 19:44,d,d,Voltacus,Voltacus,Voltacus,Voltacus
11/2/17 22:25,d,d,Excloud,Excloud,Excloud,Excloud
11/3/17 0:07,d,d,Excloud,Excloud,Excloud,Excloud
11/3/17 13:00,d,d,Rajzilla,TreetopHuntR,Voltacus,Excloud
11/8/17 18:54,d,d,Rajzilla,Voltacus,Excloud,TreetopHuntR
11/2/17 23:43,d,d,TreetopHuntR,Excloud,Rajzilla,Voltacus
11/2/17 23:02,d,d,TreetopHuntR,Voltacus,Excloud,Rajzilla
11/8/17 14:52,d,d,Voltacus,Excloud,Rajzilla,TreetopHuntR
11/2/17 14:37,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/2/17 15:46,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/8/17 23:05,d,d,TreetopHuntR,Rajzilla,Voltacus,Excloud
11/2/17 12:16,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/2/17 12:12,d,d,Excloud,TreetopHuntR,Voltacus,Rajzilla
11/3/17 1:37,d,d,Excloud,Excloud,Excloud,Excloud
11/8/17 14:25,d,d,TreetopHuntR,Rajzilla,Voltacus,Excloud
11/2/17 19:23,d,d,Rajzilla,TreetopHuntR,Voltacus,Excloud
11/3/17 11:38,d,d,Excloud,TreetopHuntR,Rajzilla,Voltacus
11/8/17 21:27,d,d,Rajzilla,Rajzilla,Rajzilla,Rajzilla
11/2/17 12:10,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/2/17 20:49,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/8/17 17:03,d,d,Voltacus,TreetopHuntR,Excloud,Rajzilla
11/5/17 21:57,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/3/17 1:58,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/2/17 12:50,d,d,Voltacus,Rajzilla,TreetopHuntR,Excloud
11/2/17 21:53,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/4/17 1:35,d,d,Excloud,Excloud,Excloud,Excloud
11/2/17 13:16,d,d,Excloud,Voltacus,TreetopHuntR,Rajzilla
11/2/17 15:08,d,d,Voltacus,TreetopHuntR,Excloud,Rajzilla
11/2/17 16:34,d,d,Excloud,Voltacus,TreetopHuntR,Rajzilla
11/2/17 16:48,dd,dd,Voltacus,Excloud,TreetopHuntR,Rajzilla
11/3/17 5:27,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/2/17 12:11,d,d,Voltacus,TreetopHuntR,Excloud,Rajzilla
11/8/17 17:10,d,d,Voltacus,Rajzilla,TreetopHuntR,Excloud
11/2/17 21:24,d,d,Excloud,TreetopHuntR,Voltacus,Rajzilla
11/2/17 12:46,d,d,Excloud,Excloud,Excloud,Excloud
11/2/17 12:10,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/3/17 11:35,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/8/17 15:36,d,d,Voltacus,Excloud,Rajzilla,TreetopHuntR
11/3/17 4:59,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/2/17 12:45,d,d,Voltacus,Excloud,Rajzilla,TreetopHuntR
11/2/17 19:49,d,d,Rajzilla,Voltacus,Excloud,TreetopHuntR
11/2/17 13:11,d,d,Excloud,TreetopHuntR,Voltacus,Rajzilla
11/2/17 12:32,d,d,Rajzilla,TreetopHuntR,Excloud,Voltacus
11/2/17 12:36,dd,dd,TreetopHuntR,Voltacus,Excloud,Rajzilla
11/2/17 14:34,d,d,Rajzilla,Excloud,TreetopHuntR,Voltacus
11/2/17 22:50,d,d,Excloud,Excloud,Excloud,Excloud
11/8/17 17:14,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud